23 312
Stop FLOAT 
Phe FLOAT 
Leu FLOAT 
Ser FLOAT 
Tyr FLOAT 
Cys FLOAT 
Trp FLOAT 
Pro FLOAT 
His FLOAT 
Gln FLOAT 
Arg FLOAT 
Ile FLOAT 
Met FLOAT 
Thr FLOAT 
Asn FLOAT 
Lys FLOAT 
Val FLOAT 
Ala FLOAT 
Asp FLOAT 
Glu FLOAT 
Gly FLOAT 
GENE STRING 
Specie STRING 
1 21 40 27 11 0 4 20 13 20 20 40 8 24 21 38 23 34 29 36 17 DNAA baci
1 14 38 31 6 1 1 18 4 16 17 39 4 26 15 24 31 22 23 33 15 DNAN baci
1 15 52 31 28 2 2 21 16 21 36 45 16 46 33 43 41 40 41 56 53 GYRB baci
1 16 72 41 25 1 1 23 15 28 60 76 23 55 35 47 58 54 47 83 61 GYRA baci
1 19 37 19 14 3 3 19 9 12 31 23 11 18 16 31 30 30 27 49 24 SERS baci
1 13 30 15 7 1 0 13 3 13 11 25 6 16 14 25 27 21 14 25 13 KSGA baci
1 21 43 17 17 0 2 20 19 24 33 37 15 28 16 28 30 29 33 55 32 LYSS baci
1 23 43 21 20 2 6 18 11 24 22 36 8 21 18 40 29 24 23 59 35 GLTX baci
1 21 40 24 22 3 7 10 16 18 24 30 10 22 23 33 25 32 37 42 27 CYSS baci
1 9 8 8 6 0 2 8 1 2 6 9 7 12 7 21 23 4 11 19 14 NUSG baci
1 36 102 62 41 4 6 55 18 39 83 79 30 57 51 61 102 65 89 110 103 RPOB baci
1 35 118 51 30 11 7 55 20 44 83 74 33 68 47 89 102 82 62 97 91 RPOC baci
1 5 22 5 9 4 0 10 2 8 10 13 6 11 7 16 16 10 19 21 23 ADK baci
1 6 17 13 8 3 2 13 10 7 11 23 4 13 9 19 19 13 13 20 25 MAP baci
1 2 6 2 3 0 0 3 3 0 5 6 3 6 2 5 8 3 4 6 5 INFA baci
1 5 32 17 7 1 1 9 6 9 15 26 5 24 11 22 26 19 23 34 22 RPOA baci
1 8 36 16 12 0 3 14 12 11 9 12 11 17 11 28 20 21 16 17 19 GLPQ baci
1 16 27 19 10 1 8 14 7 3 2 28 4 13 9 11 29 29 4 4 36 GLPF baci
1 22 40 35 17 3 14 13 8 18 17 30 11 31 21 33 32 40 28 37 46 GLPK baci
1 9 35 15 14 2 1 14 4 15 14 22 11 15 17 31 19 24 18 28 22 TRPS baci
1 21 37 23 14 1 4 16 4 6 10 28 11 15 8 15 30 30 9 6 23 OPPB baci
1 48 72 33 13 2 4 38 11 27 21 62 22 31 26 32 58 63 26 39 71 PTSG baci
1 1 7 7 2 0 0 1 1 2 1 5 4 7 5 7 6 12 5 7 8 PTSH baci
1 19 46 32 14 2 2 19 7 16 22 41 20 34 17 40 41 51 29 63 35 PTSI baci
1 33 54 26 10 2 2 30 12 15 16 57 23 33 26 36 45 82 27 40 66 FRUA baci
1 9 27 18 2 0 0 13 2 20 16 31 11 24 24 23 31 44 21 28 38 FTSZ baci
1 38 73 53 35 7 18 43 24 29 45 52 19 46 35 68 69 66 63 82 56 ILES baci
1 6 16 4 5 1 0 6 3 4 8 8 5 9 3 12 16 13 14 14 13 DEF baci
